-1: 请收看今天文倩的世界周报。
-2: 六月二十七号这一天，对我们而言是平凡的一天，对美国的政治。
-3: 特别是美国的民主党而言，这是最黑暗的一天。六月二十七号当天晚上，川普和burden的辩论。
-4: 所有的美国媒体都用了灾难性的辩论。
-5: 来称八的在前十分钟以及结辩里头的表现。另外。
-6: 在六月二十七号接近。
-7: 更晚的时间，也就是差不多六月二十八号清晨的时间。
-8: 美国的最高法院正式宣布。
-9: 一月六号我会暴动事件里头所承办案件的检察官，他越权。
-10: 错误使用法律的条文起诉了其中一名参与国会暴动的。
-11: 一位参与行动的人士，这样的一个美国最高法院的认定。
-12: 很可能影响许许多多到现在为止。
-13: 还没有被审理的，其他国会暴动的。
-14: 猜女人当然曝瓜了，被认为很可能是教唆犯的川普，所以这是
-15: 对川普而言，另外一场法律的胜利。
-16: 很可能不只是一月六号都不会暴动事件。
-17: 在选钱的时候不会进行审理，更重要的是他可能根本不会被判刑。虽然很快的
-18: 秘书长内部在六月二十七号。
-19: 凌晨的时间开始，就很多人讨论要更换。
-20: 拜轮候选人的可能性，但是最终
-21: 民主党的最高层决定，他们没有更换。
-22: 候选人的任何打算，这是今天最新的消息。可是纽约时报还是不放弃，他却访问了很多民主党人。
-23: 民主党人相当程度的开始考虑。
-24: 是否有能够取代bitton总统候选人的地位？
-25: 但是他们都知道，那除非拜登自己按照自己的条件下台。
-26: 否则很困难。所以我刚刚提到有一般的个人。
-27: 他在昨天晚上说非常清楚的，可能是波涛汹涌内部的告诉民主，党的高层也告诉很多其他的人大家知道他的意志坚定。所以民主党的领导人经过一夜迅速而明确排除了巴den:
-28: 总统在首场总统辩论会以后表现不佳，以后应该下台的。
-29: 想法，但是在周五的早上，也就是辩论的第二天的早上。
-30: 博会山庄民主党里头今年要选别任的参众议员充满了焦虑。
-31: 纽约时报报道，他们担心这对自己的近水活动和离任机会。
-32: 意味着什么？而同样的在辩论的隔一天，在北卡的集会上，面对有两千个群众。
-33: 那个时刻，巴林会觉得他一定要参选到底，他要表现给很多人看，在现场是有
-34: 读稿机的，他有一个读稿机在前面，他就站在这群人前面侃侃而谈。
-35: 热情充满活力。美国的纽约时报报道说。
-36: 这两件事情是他在辩论里头都没有的特质。
-37: 而domber就直接称，或许巴掌已经没有能力，没有读稿机。
-38: 而呈现出他应该有的领导力，而巴黎不退。在这个情况里头呢，他
-39: 经过整个辩论的表现以后，他希望所有的人
-40: 能够了解他的健康状况，并没有任何问题。他在北卡这场场合里头。
-41: 刻意发表了一个充满活力的演讲，而且在现场不断强势的一直说
-42: Trump is a liar: Trump is a liar,就是说他是一个骗子星期五的时候，辩论的结束以后。
-43: 八十的八人呢在北卡两千人前面发表讲话，他也承认面对他的年龄的问题。他说。
-44: 他自己很了解，如果他无法胜任总统的职务，他不会竞选连任，那更重要的是奥巴马的角色。奥巴马发表了他的twitter推文。
-45: 他说糟糕的辩论职业本来有的时候就会发生相信我，我知道。但这次选举仍然是一个为普通民众奋斗一生的人和一个只关心自己的人之间的选择。
-46: 在一个说真话跟说假话的人之间是奥巴马。
-47: 马上在昨天凌晨的时刻，立刻的发表推文支持了拜登,这使得
-48: 吊拜的下台的声浪有点下滑，谋程度目前是止住了。而拜登竞选团队的总监说，无论如何，根本就没有关于更换拜登的各种说法。
-49: 他还说还说了一句，让很多民主党快要崩溃的话，他说巴登准备参加九月十号和川普的第二场辩论。他说，我们看看那个时候。
-50: 川普会做什么？而民主党的人的担忧呢，当然是相当的加剧，他表现这么的不稳定，他还要参加第二场辩论会，但是最重要是掰着自己不肯下台。虽然大象又看直接的指止他说，如果你真的爱这个国家，你应该退选，但我在昨天文献世界周报总统大选的特别棒的节目里头，就是说我看了他一生的所有的从政经历，他是一个好战派。
-51: 在美国入侵伊拉克，他投下了战争，他从来没有参加过反越战。他这一生里头呢，对于权力是积急盈盈，这样的人是不会退选的。而当他不退选的情况里头，民主党要更换总统候选人的困难度就大幅增加，这使全世界提早宣告川普时代的来临。
-52: 看发生在六月二十七号，这场辩论里头，川普的满口话。
