-1: 许多人认为，整个川普的政策是回到孤立主义，实际上是对美国现状。
-10: 中国大陆的简体字是直接按照原来的英文翻译叫做。
-11: 乡下人的悲歌比较接近，原来的意思。
-12: 他出生于ohio,他就是美国的铁锈区的家庭。
-13: 他的父亲有好几个，他的妈妈是一个染上毒瘾的人。
-14: 对他而言，贫穷、酗酒家暴所有的问题，一个家族的所有的分崩离析。
-15: 是他成长很熟悉的环境，这就是他所认识的美国。
-16: 不是我们去旧金山，去斯鲁克里去看到valbill gaate去看到。
-17: 哪些人所看到的美国，他认识了那一块的一大块的一个美国，而最后呢是因为他外婆
-18: 照顾了他，使他开始有一个安稳的家庭，尤其是外婆不断的鼓励他。
-19: 你不要放弃自己，虽然你来自于这么破碎的背景，不要因为你的爸爸没有了。
-2: 太不了解。如果你不了解美国现在的经济的不均衡，贫富的差距，铁锈区所形成的问题，你很难理解美国的政治的走向。
-20: 你的妈妈也不要你了，你要上进要努力，所以她的american dream呢本身写下来，像像你的悲歌。
-21:  About himself是关于他自己，也关于他所认识的那一大群人，所以他那本书。
-22: 因此，绝望者的悲歌就非常的轰动，变成马上变成畅销书。纽约时报也马上的推荐这一本书籍。所以你可以想象说这样的一个人物被。
-23: 川普看上了，而且他才三十九岁，他马上就轰动了大家整个所有的全场。那目前呢他在二零二二年，他资历很浅，他二零二二年就是现在二零二四年，他只有两年的政治经历，当时他荡选了还友的参议员。
-24: 那这个欧亥尔的参议员呢，他只有当选了让员他立刻提名他他说因为我要替这个国家。
-25: 栽培人才栽培一个了解美国问题的人才让mega就是MAGA这个运动里头。
-26: 有他的代言人，这个人他就是出生于那里，他了解那群人的问题，而且他非常的年轻，三十九岁那年轻这两个字就是byer的死穴。
-27: 那贺景丽虽然相对年轻，贺锦丽呢也是五十几岁了，所以比起
-28: 双方的能力，双方的背景当然是vs是高手。那我们也必须佩服川普。
-29:  Jump本身呢深核心心的问题择了一个代表被抛弃的美国人bench作为一个副手，他的进水主流就非常的清楚。
-3: 那你纯粹从政治谈政治，从民主宪政、谈民主宪政。那你本身呢就是不能够掌握美国的核心问题，它不是回到孤立主义。
-30: 而他呢在培植vans的时候，你必须佩服，因为vans是一个很会讲话的人。
-31: 这个贺锦丽的能力普通不太相同。所以我们常常看一个人怎么选副手，就可以看出来找一个听话的，没有能力的，不会威胁你的，就表示这个人。
-32: 想要大权在握他个人的利益，放在国家利益之上。那在批评川普的话，你就必须佩服说他上次选的是pants,他也可以当总统，他这是选择的是vans,他也可以做总统，他，而且是替美国培植新的政治人才。其实这是一个观察政治人物最重要的时刻。因为副总统是一个随时可能看着你的位置的人，你可以选一个跟你的资历差很多，或者是他个人的历历弱弱，他的能力也很弱，只是帮你补足一些选票的人，根本人通常就是权利性很大的的人，根本不认为应该替这个个家即选择一个好的政治明人，即使在他任内副总统不会取代他将来也是替共和培培植这治明星。而这这一点来讲。
-33: 川普做大了，而正式被提名为副手之后，vans首度演讲。
-34: 第一句话，停止军援乌克兰，他跟乌克兰有仇吗？不是他对美国有不一样的看法。
-35: 他认为，美国人连饭都吃不起，连餐盘里的食物都不够。
-36: 你谈什么支援他国第二，他认为中国才是美国唯一的敌人，他太可怕了，因为他不管是从经济上
-37: 从产业上，从军事上，从各个方面都比苏联时期的挑战来的更大，这是最危险的敌人。所以中国才是美国唯一的敌人，亚洲比欧洲重要。所以他希望欧战争立刻的停滞，他们态度非常的清楚。所以这不是什么孤立主义，就是整体来讲他的国际战略是我对准亚洲。
-38: 第二个，我重点在经贸。第三个，我要回来照顾美国贫困的美国人，让美国的贫富差距虽然不能永久的解决，但是我要让那些被抛弃的美国人感觉到美国仍然是他们的国家。
-4: 他回到他们认为的美国公民的利益，什么是公民的利益？
-5: 比如说川普在这一次的党代表大会里头，那全国党代表大会呢？
-6:  Rnc里头它其实是抓住每一个造势的一个temple.
-7: 这是肇事高手，第一天他抱伤出去，大就大吃一惊。
-8: 然后隔两天他不让讯息变成就是冷掉了，要等到他发表正式演说，他马上宣布他的副手是vans一宣布出来，全场为之轰动。为什么？因为之前猜的都不对，之前猜的人呢，梅士根州长或者是pennsyvania州长，可以补足他写数剧，可是都没有什么眼睛一的。他选出来这个人在美国是知名度非常常的的。
-9: 为什么他在当年写了一本书这本书，台湾翻译成叫绝望者之歌？
